stsadrid,stojahr,faeinksteuertot,FaVermSteuerTot,Jahrgang,SEX_CD,Zuzug Ort,Zuzug,Wegzug,Wegzug Ort,ZIVIL_CD,Zivilstand,Jahrgang Kind,Name Kind,is_male,age,age_group
9875,2012,0.0,0.0,1993,M,,1993,,,LE,ledig,0,,True,19,10-19
1100189,2017,156.0,0.0,1999,M,Aarburg AG,2009,2021,,VH,verheiratet,0,,True,18,10-19
1100189,2018,0.0,0.0,1999,M,Aarburg AG,2009,2021,,VH,verheiratet,0,,True,19,10-19
1110467,2020,0.0,0.0,2002,M,,2011,,,LE,ledig,0,,True,18,10-19
1100218,2017,0.0,0.0,1999,F,Bätterkinden,2000,,,LE,ledig,0,,False,18,10-19
1100218,2018,0.0,0.0,1999,F,Bätterkinden,2000,,,LE,ledig,0,,False,19,10-19
1114338,2016,57.1,0.0,1997,F,Zuchwil SO,2016,,,LE,ledig,0,,False,19,10-19
9820,2011,0.0,0.0,1992,M,Utzenstorf,1993,,,LE,ledig,0,,True,19,10-19
9820,2010,0.0,0.0,1992,M,Utzenstorf,1993,,,LE,ledig,0,,True,18,10-19
1100308,2018,0.0,0.0,2000,F,,2000,,,LE,ledig,0,,False,18,10-19
1100308,2019,0.0,0.0,2000,F,,2000,,,LE,ledig,0,,False,19,10-19
1100134,2018,2075.55,0.0,1999,F,Etziken,1999,,,LE,ledig,0,,False,19,10-19
1100332,2018,0.0,0.0,2000,F,,2000,,,LE,ledig,0,,False,18,10-19
1100334,2018,0.0,0.0,2000,M,,2000,,,LE,ledig,0,,True,18,10-19
1100334,2019,0.0,0.0,2000,M,,2000,,,LE,ledig,0,,True,19,10-19
1100363,2017,0.0,0.0,1999,M,Solothurn,2000,,,LE,ledig,0,,True,18,10-19
1100363,2018,0.0,0.0,1999,M,Solothurn,2000,,,LE,ledig,0,,True,19,10-19
1100371,2018,0.0,0.0,2000,F,,2000,,,LE,ledig,0,,False,18,10-19
1100371,2019,416.75,0.0,2000,F,,2000,,,LE,ledig,0,,False,19,10-19
1100423,2018,225.0,0.0,2000,M,Olten,2000,2019,,LE,ledig,0,,True,18,10-19
1100423,2019,0.0,0.0,2000,M,Olten,2000,2019,,LE,ledig,0,,True,19,10-19
1100437,2018,0.0,0.0,2000,M,,2000,,,LE,ledig,0,,True,18,10-19
1100437,2019,22.9,0.0,2000,M,,2000,,,LE,ledig,0,,True,19,10-19
1100332,2019,0.0,0.0,2000,F,,2000,,,LE,ledig,0,,False,19,10-19
1100134,2017,145.65,0.0,1999,F,Etziken,1999,,,LE,ledig,0,,False,18,10-19
1100133,2012,0.0,0.0,1993,F,Etziken,1999,2016,,VH,verheiratet,0,,False,19,10-19
1100133,2011,0.0,0.0,1993,F,Etziken,1999,2016,,VH,verheiratet,0,,False,18,10-19
1099924,2017,0.0,0.0,1998,M,,1999,,,LE,ledig,0,,True,19,10-19
1114212,2017,440.4,0.0,1999,F,Halten SO,2016,2018,,LE,ledig,0,,False,18,10-19
1114212,2018,0.0,0.0,1999,F,Halten SO,2016,2018,,LE,ledig,0,,False,19,10-19
9905,2010,0.0,0.0,1991,F,Münchenbuchsee,1993,2014,,LE,ledig,0,,False,19,10-19
1099940,2010,0.0,0.0,1992,F,,1999,2010,,LE,ledig,0,,False,18,10-19
9895,2011,0.0,0.0,1993,F,Zuchwil SO,2014,,,VH,verheiratet,0,,False,18,10-19
1100027,2017,0.0,0.0,1999,F,,1999,,,LE,ledig,0,,False,18,10-19
1100027,2018,0.0,0.0,1999,F,,1999,,,LE,ledig,0,,False,19,10-19
1100099,2013,0.0,0.0,1995,M,Zuchwil SO,2019,,,LE,ledig,0,,True,18,10-19
1100099,2014,0.0,0.0,1995,M,Zuchwil SO,2019,,,LE,ledig,0,,True,19,10-19
1100100,2016,0.0,0.0,1998,F,Zuchwil SO,2019,,,LE,ledig,0,,False,18,10-19
1100100,2017,0.0,0.0,1998,F,Zuchwil SO,2019,,,LE,ledig,0,,False,19,10-19
1114262,2018,0.0,0.0,2000,M,Rüdtligen-Alchenflüh BE,2016,,,LE,ledig,0,,True,18,10-19
1114262,2019,0.0,0.0,2000,M,Rüdtligen-Alchenflüh BE,2016,,,LE,ledig,0,,True,19,10-19
1114263,2016,0.0,0.0,1998,F,Rüdtligen-Alchenflüh BE,2016,2017,,VH,verheiratet,0,,False,18,10-19
1114263,2017,0.0,0.0,1998,F,Rüdtligen-Alchenflüh BE,2016,2017,,VH,verheiratet,0,,False,19,10-19
1110521,2014,0.0,0.0,1995,F,Schalunen BE,2011,,,LE,ledig,0,,False,19,10-19
